Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1996-01-30,-8.849581302440607e-05,-0.08289239129254954,-8.796844334370556e-05,-8.792653006825566e-05,-8.858934476712e-05,-8.796190958031408e-05
1996-03-26,-4.3748474738004904e-05,-0.35077565864910104,-4.353635782344743e-05,-4.334381589485858e-05,-4.372639393041509e-05,-4.336379195593658e-05
1996-05-21,-4.1540598463213053e-05,-0.3221616956540398,-4.126195160188733e-05,-4.1181421002836255e-05,-4.154000855193152e-05,-4.1201418971999015e-05
1996-07-02,-3.850557722996294e-05,-0.2578730616476475,-3.8147586497679204e-05,-3.810856801516316e-05,-3.8563349624546e-05,-3.8129400017430076e-05
1996-08-20,-3.2029592092511774e-05,-0.22206288882206715,-3.177363452782431e-05,-3.17460748001815e-05,-3.202195179384524e-05,-3.176214694069273e-05
1996-09-24,-3.225625731248691e-05,-0.28108964958991617,-3.199350826844845e-05,-3.192041151054533e-05,-3.224419442848285e-05,-3.193603856393565e-05
1996-11-13,-3.585317342361285e-05,-0.27568374797727024,-3.556702044466367e-05,-3.5514443077098305e-05,-3.5854059720994574e-05,-3.553229158060321e-05
1996-12-17,-6.694375026778717e-05,-0.4961706101293476,-6.638350478247739e-05,-6.632390865248952e-05,-6.688274893012827e-05,-6.635246151585496e-05
1997-02-04,-2.9446675385303126e-05,-0.25439892994338215,-2.920781603887336e-05,-2.9186621998965837e-05,-2.9482581313180772e-05,-2.9200907336102805e-05
1997-03-25,-4.3935946487490575e-05,-0.3441522183181631,-4.359520965696058e-05,-4.3557946490777894e-05,-4.397607943768733e-05,-4.35774269161987e-05
1997-05-20,-3.927891742049205e-05,-0.33313786839425663,-3.897089436213405e-05,-3.894164222711955e-05,-3.931330170581225e-05,-3.896018336114268e-05
1997-07-01,-3.791224249085536e-05,-0.26543654044539666,-3.755917451990877e-05,-3.7528377007721175e-05,-3.791206961312584e-05,-3.754769097178405e-05
1997-08-19,-3.782973336512919e-05,-0.3010939938215359,-3.749125355869267e-05,-3.745686706026018e-05,-3.7803828847569026e-05,-3.7475777683751465e-05
1997-09-30,-5.6238404301833283e-05,-0.4053148297920408,-5.575799794515562e-05,-5.5655190102284075e-05,-5.623983734622262e-05,-5.568437266918467e-05
1997-11-12,-5.1299426235696225e-05,-0.3594569886682083,-5.091026334440149e-05,-5.086327761436117e-05,-5.1283039190095054e-05,-5.088554123442399e-05
1997-12-16,-5.7959359714376895e-05,-0.43419418338834415,-5.752597625479476e-05,-5.748835801267117e-05,-5.808904834102394e-05,-5.7512490022496986e-05
1998-02-03,-2.2088375054815078e-05,-0.21337324459400311,-2.1912003015885677e-05,-2.1888593590615376e-05,-2.2113300988924644e-05,-2.1899200762349424e-05
