month,category_id,date,Inflation and Prices,Economic Growth and Business Activity,Quarterly Economic Performance,Committee Deliberations and Policies*,Credit Markets and Financial Conditions,Economic Forecasts and Projections,VIX
2004-01,2004,2004-01-28,-0.020009897,-0.007504599,-0.017354415,-0.031804962,-0.038882944,0.023615083,16.78
2004-03,2004,2004-03-16,-0.025546374,-0.034594982,-0.031001859,-0.006695576,-0.03028518,0.001927045,20.34
2004-05,2004,2004-05-04,0.003174322,0.001184166,-0.009437621,0.042298701,0.009340913,0.033944404,16.55
2004-06,2004,2004-06-30,0.0283348673992339,0.0117513181735696,0.017961157,0.093890578,0.005207256,0.057717568,14.34
2004-08,2004,2004-08-10,-0.063444729,0.019796277878506,-0.062641359,-0.088111577,-0.019401763,-0.019696078,17.47
2004-09,2004,2004-09-21,-0.095982959,0.009040615,-0.062017115,-0.136535077,-0.024829431,-0.105302694,13.66
2004-11,2004,2004-11-10,0.008583311,0.0414886380545213,0.0139617310972845,0.0158709503387521,0.003539339,-0.05386031,13.08
2004-12,2004,2004-12-14,0.080213318,0.0211239214244221,0.0292275817835318,0.013564834889286,-0.022324397,-0.027355142,12.73
2005-02,2005,2005-02-02,0.0101638188271671,0.030350194,-0.024040184,-0.015408089,-0.007666254,-0.038058943,11.66
2005-03,2005,2005-03-22,0.0100013232893067,0.01809029,0.027545393,0.1474463592210151,0.007092878,0.0432438021917478,14.27
2005-05,2005,2005-05-03,-0.058714857,0.0115717666812604,-0.054043199,-0.160466043,-0.021096689,-0.054302998,14.53
2005-06,2005,2005-06-30,-0.037377833,0.0148809521578489,-0.031093406,-0.011717292,0.004837757,0.019657476,12.04
2005-08,2005,2005-08-09,0.06998887,0.020505784,-0.05713303,-0.000982741,0.0198420582135849,-0.02552649,12.4
2005-09,2005,2005-09-20,-0.078759667,-0.004959907,-0.056184049,-0.206612749,-0.027175467,-0.137512941,12.64
2005-11,2005,2005-11-01,-0.012872005,0.0231113435041715,-0.003135419,0.034377808,-0.009948484,-0.016760624,14.85
2005-12,2005,2005-12-13,-0.030419192,-0.012443932,-0.057294204,0.031398973,-0.016053884,0.029889648500092,11.11
2006-01,2006,2006-01-31,0.0394922459755441,0.003331203,-0.055137969,0.054277607,0.000394184,0.007104472,12.95
2006-03,2006,2006-03-28,-0.003366429,0.0198442289710748,0.010827009,0.038179347,0.033929439443655,0.028185003,11.58
2006-05,2006,2006-05-10,0.0230592786473227,0.033778607,0.0144908839098089,0.1887545456144531,-0.006980475,0.024344299,11.78
2006-06,2006,2006-06-29,-0.071974007,0.012386156,-0.049334941,-0.102526439,0.016194321,-0.026288602,13.03
2006-08,2006,2006-08-08,-0.085819852,0.0135829048316701,0.01555690220202,-0.151516143,-0.032918701,-0.006823427,15.23
2006-09,2006,2006-09-20,-0.080312021,-0.001131711,-0.002656956,-0.08808228,-0.017305094,0.0012707,11.39
2006-10,2006,2006-10-25,-0.038654418,-0.030136876,-0.047223662,-0.161838075,-0.01650475,-0.073122444,10.66
2006-12,2006,2006-12-12,-0.147195479,-0.022418865,-0.086348005,-0.17595256,-0.01258886,-0.049101746,10.65
2007-01,2007,2007-01-31,-0.050120911,-0.021027542,-0.044540011,-0.078853546,-0.003481351,0.032638961,10.42
2007-03,2007,2007-03-21,-0.071079617,-0.009635648,-0.017559668,-0.118012427,-0.031345782,-0.026863742,12.19
2007-05,2007,2007-05-09,-0.087437189,-0.007168778,-0.019487331,-0.18343066,0.009064239,-0.066066223,12.88
2007-06,2007,2007-06-28,-0.067907384,0.002715452,-0.021542977,-0.044878483,0.0221898312736882,-0.003148037,15.54
2007-08,2007,2007-08-07,-0.028850151,0.008263573,-0.042658931,-0.110261385,-0.062217555,-0.048134726,21.56
2007-09,2007,2007-09-18,-0.143923553,-0.013125448,-0.056479653,-0.244414447,-0.095647542,-0.090545685,20.35
2007-10,2007,2007-10-31,-0.152898454,-0.030759475,-0.039022769,-0.216941281,-0.048228445,-0.050814269,18.53
2007-12,2007,2007-12-11,-0.098702578,-0.033413,-0.064252142,-0.228790518,-0.061305679,-0.070832186,23.59
2008-01,2008,2008-01-30,-0.137899742,-0.021862571,-0.029504326,-0.234957481,-0.036644701,-0.076174919,27.62
2008-03,2008,2008-03-18,-0.164087874,-0.016642115,-0.042265064,-0.23179811,-0.022013635,-0.098494694,25.79
2008-04,2008,2008-04-30,-0.131355781,-0.017216438,-0.014659695,-0.210634843,0.0616226759278711,-0.092984155,20.79
2008-06,2008,2008-06-25,-0.103731071,-0.02796526,-0.037519836,-0.297856093,-0.041197892,-0.121522428,21.14
2008-08,2008,2008-08-05,-0.104930889,-0.005439788,-0.022293114,-0.2681607,-0.013794863,-0.075408495,21.14
