month,category_id,file_id,Inflation and Prices,Economic Growth and Business Activity,Quarterly Economic Performance,Committee Deliberations and Policies*,Credit Markets and Financial Conditions,Economic Forecasts and Projections,Date,DATE,CLOSE
2004-01,2004,20040128,-0.020009897,-0.007504599,-0.017354415,-0.031804962,-0.038882944,0.023615083,2004-01-01,12/31/03,18.31
2004-03,2004,20040316,-0.025546374,-0.034594982,-0.031001859,-0.006695576,-0.03028518,0.001927045,2004-03-01,3/1/04,14.44
2004-05,2004,20040504,0.003174322,0.001184166,-0.009437621,0.042298701,0.009340913,0.033944404,2004-05-01,4/30/04,17.19
2004-06,2004,20040630,0.0283348673992339,0.0117513181735696,0.017961157,0.093890578,0.005207256,0.057717568,2004-06-01,6/1/04,16.3
2004-08,2004,20040810,-0.063444729,0.019796277878506,-0.062641359,-0.088111577,-0.019401763,-0.019696078,2004-08-01,8/2/04,15.37
2004-09,2004,20040921,-0.095982959,0.009040615,-0.062017115,-0.136535077,-0.024829431,-0.105302694,2004-09-01,9/1/04,14.91
2004-11,2004,20041110,0.008583311,0.0414886380545213,0.0139617310972845,0.0158709503387521,0.003539339,-0.05386031,2004-11-01,11/1/04,16.27
2004-12,2004,20041214,0.080213318,0.0211239214244221,0.0292275817835318,0.013564834889286,-0.022324397,-0.027355142,2004-12-01,12/1/04,12.97
2005-02,2005,20050202,0.0101638188271671,0.030350194,-0.024040184,-0.015408089,-0.007666254,-0.038058943,2005-02-01,2/1/05,12.03
2005-03,2005,20050322,0.0100013232893067,0.01809029,0.027545393,0.1474463592210151,0.007092878,0.0432438021917478,2005-03-01,3/1/05,12.04
2005-05,2005,20050503,-0.058714857,0.0115717666812604,-0.054043199,-0.160466043,-0.021096689,-0.054302998,2005-05-01,5/2/05,15.12
2005-06,2005,20050630,-0.037377833,0.0148809521578489,-0.031093406,-0.011717292,0.004837757,0.019657476,2005-06-01,6/1/05,12.36
2005-08,2005,20050809,0.06998887,0.020505784,-0.05713303,-0.000982741,0.0198420582135849,-0.02552649,2005-08-01,8/1/05,12.08
2005-09,2005,20050920,-0.078759667,-0.004959907,-0.056184049,-0.206612749,-0.027175467,-0.137512941,2005-09-01,9/1/05,13.15
2005-11,2005,20051101,-0.012872005,0.0231113435041715,-0.003135419,0.034377808,-0.009948484,-0.016760624,2005-11-01,11/1/05,14.85
2005-12,2005,20051213,-0.030419192,-0.012443932,-0.057294204,0.031398973,-0.016053884,0.029889648500092,2005-12-01,12/1/05,11.24
2006-01,2006,20060131,0.0394922459755441,0.003331203,-0.055137969,0.054277607,0.000394184,0.007104472,2006-01-01,12/30/05,12.07
2006-03,2006,20060328,-0.003366429,0.0198442289710748,0.010827009,0.038179347,0.033929439443655,0.028185003,2006-03-01,3/1/06,11.54
2006-05,2006,20060510,0.0230592786473227,0.033778607,0.0144908839098089,0.1887545456144531,-0.006980475,0.024344299,2006-05-01,5/1/06,12.54
2006-06,2006,20060629,-0.071974007,0.012386156,-0.049334941,-0.102526439,0.016194321,-0.026288602,2006-06-01,6/1/06,14.52
2006-08,2006,20060808,-0.085819852,0.0135829048316701,0.01555690220202,-0.151516143,-0.032918701,-0.006823427,2006-08-01,8/1/06,15.05
2006-09,2006,20060920,-0.080312021,-0.001131711,-0.002656956,-0.08808228,-0.017305094,0.0012707,2006-09-01,9/1/06,11.96
